Signi70,Sp70,Sp70/Sbg70,Sconv70,Stot70,FWHMa70,FWHMb070,PA070,Signi160,Sp160,Sp160/Sbg160,Sconv160,Stot160,FWHMa160,FWHMb160,PA160,Signi250,Sp250,Sp250/Sbg250,Sconv250,Stot250,FWHMa250,FWHMb250,PA250,Signi350,Sp350,Sp350/Sbg350,Sconv350,Stot350,FWHMa350,FWHMb350,PA350,Signi500,Sp500,Sp500/Sbg500,Stot500,FWHMa500,FWHMb500,PA500,SigniNH2,NpH2,NpH2/NbgH2,NconvH2,NbgH2,FWHMaNH2,FWHMbNH2,PANH2,NSED,Region,Coretype
0.0,0.000647,-1.31,0.0112,-0.137,90.0,80.0,57.0,0.0,0.0885,0.0,0.561,2.11,80.0,61.0,175.0,14.2,0.288,0.69,0.807,2.6,70.0,43.0,162.0,27.9,0.55,0.95,0.911,2.77,64.0,42.0,169.0,39.5,0.696,0.92,1.71,65.0,42.0,179.0,38.7,3.3,1.0,10.2,20.6,66.0,40.0,5.0,4.0,Taurus,1
2.6,-0.019,-0.16,-0.19,-0.0025,54.0,25.0,-38.0,6.3,0.13,0.24,0.42,0.6,14.7,57.0,18.0,4.0,0.26,0.34,0.36,0.62,27.0,21.0,15.0,12.0,0.23,0.32,0.25,0.4,30.0,25.0,18.0,12.3,0.16,0.24,0.2,36.0,36.0,-29.0,20.5,0.77,0.52,0.4,1.5,32.0,26.0,21.0,4.0,Lupus,1
0.0,0.0357,0.82,0.441,0.0903,50.0,40.0,119.0,0.0,0.133,0.12,0.622,0.646,46.0,37.0,71.0,6.8,0.382,0.19,0.601,0.885,36.0,21.0,105.0,7.7,0.375,0.18,0.44,0.577,35.0,25.0,99.0,0.0,0.204,0.09,0.166,42.0,36.0,114.0,8.3,1.0,0.23,0.5,5.0,32.0,22.0,107.0,2.0,Aquilia,1
3.2,-0.0318,-0.14,-0.103,-0.0434,33.0,8.0,20.0,10.6,0.352,0.13,0.695,0.791,24.0,16.0,91.0,9.5,0.328,0.1,0.38,0.402,24.0,18.0,98.0,7.2,0.218,0.08,0.258,0.247,38.0,25.0,91.0,0.0,0.0879,0.03,0.0348,36.0,36.0,82.0,8.4,0.4,0.09,0.1,4.0,24.0,18.0,101.0,3.0,Orion,1
0.0,0.019,1.041,0.14,0.052,36.9,23.8,11.7,0.0,0.035,0.168,0.08,0.089,23.2,22.3,31.9,8.3,0.14,0.329,0.16,0.16,25.7,18.2,22.9,6.5,0.12,0.234,0.13,0.099,37.7,24.9,30.5,6.0,0.094,0.198,0.095,53.9,36.3,32.8,7.3,6.9,0.3,0.1,26.44,29.5,18.2,47.0,3.0,Cepheus,1
3.5,-0.0253,-0.43,-0.109,-0.00612,35.0,11.0,-17.0,0.0,0.181,0.23,0.511,0.614,30.0,22.0,12.0,10.5,0.302,0.41,0.363,0.413,25.0,18.0,14.0,10.1,0.209,0.3,0.226,0.215,30.0,25.0,22.0,0.0,0.109,0.15,0.0681,38.0,36.0,37.0,9.2,0.5,0.48,0.2,1.0,30.0,18.0,22.0,3.0,Orion,1
3.5,-0.02,1.809,-0.14,-0.16,46.7,20.1,69.5,0.0,0.061,0.39,0.14,0.3,26.7,20.8,138.0,6.5,0.12,0.561,0.19,0.33,33.9,23.3,177.5,6.1,0.17,0.679,0.17,0.25,32.0,25.2,159.1,8.1,0.12,0.849,0.12,36.3,36.3,51.8,8.3,6.8,0.5,0.1,14.3,35.9,29.1,128.0,3.0,Cepheus,1
48.0,0.153,0.1,1.97,7.82,65.0,37.0,25.0,38.8,1.15,0.23,8.8,29.1,57.0,45.0,37.0,30.7,1.43,0.19,3.53,9.15,55.0,35.0,37.0,23.5,0.932,0.15,1.43,3.45,56.0,36.0,32.0,18.7,0.615,0.11,1.0,52.0,36.0,38.0,14.5,1.0,0.16,0.7,6.5,59.0,38.0,30.0,0.0,Ophiuchus,1
0.0,0.00202,0.03,0.0302,0.228,70.0,52.0,93.0,0.0,0.0797,0.09,0.441,0.469,58.0,47.0,6.0,6.1,0.181,0.19,0.448,0.971,49.0,38.0,47.0,6.1,0.144,0.14,0.185,0.378,51.0,25.0,109.0,0.0,0.119,0.12,0.238,54.0,43.0,69.0,6.8,0.3,0.13,0.1,2.0,54.0,23.0,103.0,3.0,Orion,1
0.0,0.0278,0.27,0.323,0.137,41.0,40.0,-9.0,16.6,0.472,0.4,1.36,2.06,34.0,21.0,16.0,19.0,0.616,0.46,0.873,1.21,35.0,18.0,38.0,16.2,0.512,0.45,0.615,0.831,39.0,25.0,32.0,11.3,0.278,0.28,0.299,50.0,36.0,32.0,18.5,0.9,0.47,0.3,2.0,38.0,18.0,40.0,4.0,Orion,1
0.0,0.014,0.899,0.15,0.012,52.7,37.4,104.9,0.0,0.061,0.208,0.24,0.46,42.1,32.4,122.7,8.9,0.13,0.207,0.24,0.43,34.5,32.5,84.1,11.6,0.15,0.183,0.16,0.22,32.6,25.8,165.2,11.3,0.15,0.186,0.12,44.8,36.3,59.3,10.3,5.8,0.1,0.1,42.74,41.9,23.4,45.6,3.0,Cepheus,1
0.0,0.0131,0.16,0.125,0.249,36.0,31.0,99.0,8.3,0.157,0.1,0.459,0.605,28.0,16.0,92.0,7.2,0.337,0.09,0.444,0.594,28.0,19.0,93.0,7.8,0.303,0.08,0.345,0.388,34.0,25.0,88.0,6.3,0.225,0.06,0.218,55.0,36.0,80.0,8.0,0.5,0.07,0.2,7.8,28.0,20.0,83.0,0.0,Ophiuchus,1
2.9,-0.0192,-0.38,-0.0807,-0.117,33.0,11.0,60.0,0.0,0.0593,0.09,0.209,0.284,34.0,28.0,22.0,6.5,0.17,0.23,0.257,0.338,35.0,20.0,11.0,7.0,0.167,0.22,0.176,0.212,28.0,25.0,18.0,0.0,0.117,0.14,0.0742,36.0,36.0,16.0,8.3,0.5,0.32,0.2,2.0,28.0,18.0,23.0,3.0,Orion,1
0.0,0.0028,0.354,0.037,-0.24,63.2,46.3,35.0,7.5,0.058,0.379,0.22,0.39,55.3,25.7,153.7,13.5,0.17,0.371,0.33,0.81,55.2,27.0,170.8,17.6,0.25,0.46,0.32,0.67,51.3,28.8,171.6,18.4,0.29,0.619,0.48,60.5,36.3,178.2,14.2,9.7,0.3,0.2,29.25,59.0,31.6,174.1,4.0,Cepheus,1
0.0,0.00474,0.05,0.0543,0.134,48.0,35.0,127.0,7.5,0.188,0.14,0.536,0.791,33.0,20.0,123.0,12.5,0.342,0.19,0.48,0.695,28.0,21.0,-36.0,12.2,0.345,0.19,0.402,0.467,36.0,25.0,-35.0,8.2,0.177,0.1,0.0977,47.0,36.0,-39.0,16.6,0.9,0.24,0.3,4.0,27.0,20.0,-9.0,4.0,Orion,1
0.0,0.0254,0.35,0.298,-0.139,47.0,37.0,116.0,0.0,0.115,0.12,0.459,0.58,40.0,30.0,81.0,13.2,0.334,0.22,0.47,0.521,34.0,18.0,7.0,13.1,0.308,0.19,0.352,0.403,34.0,25.0,30.0,0.0,0.201,0.11,0.2,40.0,36.0,14.0,27.4,2.0,0.34,0.6,5.0,30.0,18.0,39.0,3.0,Orion,1
4.5,-0.026,-0.35,-0.089,-0.0038,37.0,8.0,47.0,7.6,0.15,0.22,0.53,0.58,20.0,31.0,30.0,85.0,0.34,0.29,0.42,0.57,26.0,18.0,-89.0,19.5,0.31,0.26,0.33,0.37,29.0,25.0,84.0,9.3,0.2,0.19,0.19,42.0,36.0,17.0,25.8,1.01,0.31,0.3,3.2,29.0,18.0,83.0,4.0,Lupus,1
0.0,0.0029,-0.742,0.01,0.07,53.3,8.4,71.8,0.0,0.031,0.199,0.16,0.39,57.6,50.2,33.4,0.0,0.19,0.307,0.43,1.1,42.8,40.8,136.9,6.5,0.17,0.257,0.22,0.55,61.6,30.1,84.9,9.3,0.24,0.386,0.53,63.3,39.6,74.3,13.6,8.8,0.2,0.2,41.8,57.7,30.8,72.2,2.0,Cepheus,1
236.3,1.53,0.17,6.29,7.13,26.0,13.0,90.0,104.2,3.3,0.18,5.92,7.81,24.0,15.0,115.0,47.4,2.58,0.22,3.4,3.99,30.0,18.0,116.0,24.4,0.669,0.09,0.719,0.684,29.0,25.0,-29.0,0.0,0.255,0.04,0.146,36.0,36.0,-31.0,11.6,0.6,0.12,0.2,5.0,31.0,20.0,123.0,3.0,Orion,1
9.1,-0.0138,-0.2,-0.15,0.015,48.0,31.0,69.0,0.0,0.0549,0.06,0.257,0.495,44.0,38.0,52.0,10.3,0.242,0.17,0.387,0.653,48.0,18.0,79.0,11.0,0.292,0.2,0.333,0.446,34.0,25.0,79.0,0.0,0.155,0.09,0.109,36.0,36.0,74.0,15.9,0.8,0.19,0.3,4.0,45.0,18.0,82.0,3.0,Orion,1
0.0,0.00447,0.04,0.0322,-0.0811,56.0,16.0,-45.0,7.7,0.223,0.15,0.484,0.649,37.0,14.0,91.0,11.1,0.315,0.17,0.356,0.367,23.0,18.0,78.0,10.5,0.345,0.2,0.411,0.466,38.0,25.0,87.0,7.2,0.212,0.14,0.248,46.0,36.0,72.0,13.8,0.7,0.24,0.2,3.0,26.0,18.0,100.0,4.0,Orion,1
0.0,0.00014,-0.077,0.00052,0.0028,60.9,8.4,145.7,0.0,0.11,0.785,0.62,2.9,82.9,56.8,42.6,8.2,0.16,0.882,0.34,1.0,68.8,29.1,70.4,9.7,0.21,1.248,0.3,0.92,67.6,34.7,60.3,11.3,0.19,1.236,0.4,63.5,36.4,68.3,8.4,5.6,0.5,0.1,12.1,79.0,28.6,44.3,3.0,Cepheus,1
0.0,0.000704,0.0,0.00473,0.0325,57.0,15.0,144.0,0.0,6.4e-18,0.0,3.02e-17,0.0101,46.0,38.0,31.0,5.4,0.0619,0.39,0.116,0.169,44.0,24.0,159.0,5.5,0.0997,0.45,0.124,0.181,44.0,25.0,162.0,4.6,0.0786,0.37,0.0927,52.0,36.0,2.0,8.9,0.7,0.43,1.4,10.2,32.0,27.0,162.0,3.0,Taurus,1
0.3,-0.0011,0.166,-0.0011,0.045,8.4,8.4,0.0,0.0,0.026,0.287,0.12,0.52,50.5,39.8,15.1,7.6,0.15,0.973,0.2,0.37,29.0,21.2,131.4,8.4,0.18,0.96,0.19,0.28,34.7,24.9,101.9,5.9,0.089,0.542,0.086,44.7,36.3,102.7,7.6,7.6,0.7,0.1,10.62,34.4,23.3,112.7,3.0,Cepheus,1
13.1,0.086,0.2,0.797,0.926,33.0,32.0,-39.0,17.5,0.404,0.11,0.938,1.12,36.0,15.0,-35.0,13.4,0.488,0.14,0.642,0.917,26.0,20.0,33.0,12.3,0.451,0.16,0.477,0.646,28.0,25.0,63.0,0.0,0.139,0.05,0.0527,36.0,36.0,16.0,10.8,0.5,0.15,0.2,4.0,30.0,18.0,45.0,3.0,Orion,1
