,0,1,2
3852,0.8920967291668747,0.7291043575007838,0.1663221414199472
5093,0.6707064896811785,0.12853594956473194,0.8826772261726437
2785,0.6726424020405765,0.6656734935090388,0.3545583667585775
3909,0.9225253938517073,0.3510139302837344,0.45781305096428765
1958,0.3653851759404251,0.04043021487488721,0.9820099667938127
83,0.7174708974428513,0.32538711860181385,0.6666070608692746
625,0.14227029918195946,0.48633087467105357,0.5827482538995018
1417,0.08680756577710622,0.760668525833044,0.2943277199779623
4051,0.009360903859093562,0.6195169323817047,0.4625534209290873
462,0.05702886412335598,0.9685837527681388,0.06315571734475038
4765,0.5588882450283986,0.39784001986799855,0.6517260722890303
2604,0.003998736653229475,0.9846006986867998,0.03595998013899389
4199,0.7224980915900185,0.43049201416912897,0.5846200928439829
3850,0.39139689202521655,0.7577287842774181,0.29334137522908604
2941,0.45760041247727046,0.9878607273685689,0.02367011673923563
2011,0.5385488394849536,0.07218611491485666,0.9544022095902513
2197,0.8420332142718584,0.0573239168899102,0.9203916299384526
916,0.6040776848878995,0.5855855855855856,0.44481072173412994
4490,0.7212180941436069,0.19000857695066084,0.8310069451365439
2187,0.319366562147611,0.1932067845257324,0.8598319188989247
4095,0.13593453854060294,0.6309617835376196,0.45823394264067335
1484,0.33699546427813126,0.5268972942479367,0.5430550867100509
900,0.8896547097557267,0.1781654762083861,0.7847654116918243
2708,0.7807109101459223,0.9731269466386953,0.023947332522429223
65,0.6110162250166867,0.3743732706390241,0.6577511043220415
129,0.06093749790157491,0.8600776032192061,0.18641070572900592
358,0.07407093486073375,0.8038908779079448,0.2666584922537532
4781,0.27220003120760705,0.527394237050087,0.5504048688662349
4560,0.8079078235189223,0.15464800434524592,0.8279342704801586
2156,0.49651975231533124,0.30271783771020666,0.7408558990727766
3024,0.3300716718775839,0.9403282379322115,0.10096946015130308
4591,0.7015318827835846,0.2598401922848849,0.7552171955938165
4413,0.39122137516775174,0.07437346131146588,0.9499395608488543
4125,0.25406655568375686,0.39440801135052794,0.6703925793210551
1179,0.4257835522117939,0.5288832935655089,0.5259654057796807
957,0.9208950680441962,0.15050618381719774,0.7328691220643753
146,0.10306217758964631,0.3106264477224568,0.7456540650178607
2609,0.8668272365976462,0.9312603629177162,0.04730032910570605
4253,0.5896408563294471,0.36936606017755175,0.6619357708377464
5096,0.12513221960936935,0.5337556739662661,0.540354423117755
1612,0.0700756481795523,0.48060559773430417,0.588404898722236
107,0.12947147013865934,0.6776577650391894,0.400296208096351
705,0.6308884163140814,0.36952767361118566,0.6625183374010308
1940,0.06737784950547031,0.5596001575562219,0.4965233267251222
4318,0.7455886490828108,0.23767964335793884,0.7687483347495518
2874,0.753086087654376,0.9058397065379089,0.09458922513627417
1214,0.8692223867024267,0.22158333487087897,0.6983700766329971
3037,0.7029348786410812,0.9741533448352243,0.03318772066562666
4593,0.6547224205810229,0.6243841883073645,0.4038213075723918
1700,0.8012891668325502,0.840149175909826,0.12491384437242818
2090,0.5035444093568331,0.025804510235355276,0.9880207407825088
3794,0.3789694483082549,0.158289365675611,0.8866807747251393
2944,0.9837363614107849,0.4177955879119567,0.06256762069984334
81,0.31610011520937276,0.5752201278787908,0.47552735509436833
696,0.8133870324213229,0.5878739917863851,0.3569850892177833
4923,0.5801708285994247,0.38340684956168114,0.6581130116516931
1248,0.9075242785005985,0.08562514123157064,0.8320836419499484
1547,0.01087356511002373,0.910903774979694,0.13235397185212236
2450,0.6083313245245284,0.20677112626038155,0.8240263750258734
1493,0.01346718034250571,0.7483787850123862,0.3165455508291444
2551,0.018018018018018018,0.8468468468468469,0.19526200177079045
3027,0.2968002496262349,0.9769102320214752,0.04256477529453255
15,0.8799832326477126,0.7144259612772325,0.17356634765139198
